Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Country,Season
JD Unadkat,12,2,2,2,2*,-,5,40.0,0,0,0,0,0,RPS,IND,2017
LH Ferguson,4,1,1,1,1*,-,1,100.0,0,0,0,0,0,RPS,NZ,2017
Imran Tahir,12,1,1,0,0*,-,2,0.0,0,0,0,0,0,RPS,RSA,2017
V Kohli,10,10,0,308,64,30.80,252,122.22,0,4,1,23,11,RCB,IND,2017
TM Head,7,7,2,151,75*,30.20,108,139.81,0,1,1,9,6,RCB,AUS,2017
AB de Villiers,9,9,1,216,89*,27.00,163,132.51,0,1,0,12,16,RCB,RSA,2017
A Choudhary,5,3,2,25,15*,25.00,20,125.00,0,0,0,1,1,RCB,IND,2017
KM Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,0,25,10,RCB,IND,2017
CH Gayle,9,9,0,200,77,22.22,163,122.69,0,1,2,15,14,RCB,WI,2017
Mandeep Singh,11,10,0,188,52,18.80,177,106.21,0,1,2,21,4,RCB,IND,2017
P Negi,12,10,2,144,35,18.00,111,129.72,0,0,0,10,7,RCB,IND,2017
STR Binny,8,7,2,78,18*,15.60,76,102.63,0,0,0,6,3,RCB,IND,2017
SR Watson,8,7,1,71,24,11.83,78,91.02,0,0,0,6,1,RCB,AUS,2017
S Aravind,10,8,4,32,9,8.00,40,80.00,0,0,2,2,0,RCB,IND,2017
Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,0,1,1,RCB,IND,2017
Sachin Baby,3,3,0,15,12,5.00,15,100.00,0,0,0,2,0,RCB,IND,2017
YS Chahal,13,6,3,13,4*,4.33,26,50.00,0,0,1,0,0,RCB,IND,2017
AF Milne,4,3,1,7,5,3.50,12,58.33,0,0,0,0,0,RCB,NZ,2017
TS Mills,5,3,0,8,6,2.66,11,72.72,0,0,1,0,1,RCB,ENG,2017
S Badree,7,5,0,13,8,2.60,23,56.52,0,0,2,0,0,RCB,WI,2017
Iqbal Abdulla,2,1,1,5,5*,-,7,71.42,0,0,0,0,0,RCB,IND,2017
Avesh Khan,1,-,-,-,-,-,-,-,-,-,-,-,-,RCB,IND,2017
HV Patel,1,-,-,-,-,-,-,-,-,-,-,-,-,RCB,IND,2017
B Stanlake,2,-,-,-,-,-,-,-,-,-,-,-,-,RCB,AUS,2017
DA Warner,14,14,3,641,126,58.27,452,141.81,1,4,0,63,26,SRH,AUS,2017
V Shankar,4,4,2,101,63*,50.50,75,134.66,0,1,0,12,1,SRH,IND,2017
MC Henriques,12,11,5,277,55*,46.16,203,136.45,0,3,0,28,4,SRH,AUS,2017
KS Williamson,7,7,1,256,89,42.66,169,151.47,0,2,0,20,10,SRH,NZ,2017
S Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,0,53,9,SRH,IND,2017
Bipul Sharma,7,3,2,31,21*,31.00,24,129.16,0,0,0,2,1,SRH,IND,2017
Yuvraj Singh,12,11,2,252,70*,28.00,177,142.37,0,2,1,30,8,SRH,IND,2017
DJ Hooda,10,6,3,78,19*,26.00,52,150.00,0,0,0,5,4,SRH,IND,2017
BCJ Cutting,4,3,1,51,20,25.50,26,196.15,0,0,0,5,3,SRH,AUS,2017
NV Ojha,14,5,1,79,34,19.75,65,121.53,0,0,0,2,3,SRH,IND,2017
Rashid Khan,14,3,1,11,6*,5.50,9,122.22,0,0,0,0,1,SRH,AFG,2017
B Kumar,14,2,1,4,4*,4.00,4,100.00,0,0,1,0,0,SRH,IND,2017
Mohammad Nabi,3,1,0,2,2,2.00,3,66.66,0,0,0,0,0,SRH,AFG,2017
CJ Jordan,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,SRH,ENG,2017
S Kaul,10,1,1,0,0*,-,2,0.00,0,0,0,0,0,SRH,IND,2017
A Nehra,6,2,2,0,0*,-,0,-,0,0,0,0,0,SRH,IND,2017
Mohammed Siraj,6,-,-,-,-,-,-,-,-,-,-,-,-,SRH,IND,2017
Mustafizur Rahman,1,-,-,-,-,-,-,-,-,-,-,-,-,SRH,BD,2017
BB Sran,1,-,-,-,-,-,-,-,-,-,-,-,-,SRH,IND,2017
CH Morris,12,7,4,195,82*,65.00,109,178.89,0,1,1,15,12,DD,RSA,2016
JP Duminy,10,8,3,191,49*,38.20,156,122.43,0,0,0,13,3,DD,RSA,2016
Q de Kock,13,13,1,445,108,37.08,327,136.08,1,3,0,52,13,DD,RSA,2016
KK Nair,14,12,2,357,83*,35.70,297,120.2,0,3,0,40,6,DD,IND,2016
P Negi,8,6,4,57,19*,28.50,59,96.61,0,0,0,2,3,DD,IND,2016
SV Samson,14,14,3,291,60,26.45,259,112.35,0,1,0,20,8,DD,IND,2016
RR Pant,10,10,2,198,69,24.75,152,130.26,0,1,0,19,6,DD,IND,2016
